"Format","MoTeC CSV File",,,"Workbook","Samples"
"Venue","barber full",,,"Worksheet","grip factors export"
"Vehicle","lamborghinievogt3",,,"Vehicle Desc","lamborghinievogt3"
"Driver","Joao G Alves",,,"Engine ID",""
"Device","ADL"
"Comment","baseline.sto",,,"Session","Test"
"Log Date","05/04/2022",,,"Origin Time","0.000","s"
"Log Time","23:09:48",,,"Start Time","0.000","s"
"Sample Rate","100.000","Hz",,"End Time","260.317","s"
"Duration","260.317","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","10358","m"
"Beacon Markers","98.317 183.236 "


"Time","Distance","Ground Speed","G Force Lat","G Force Long","Lap Distance","Tyre Pres FL","Tyre Pres FR","Tyre Pres RL","Tyre Pres RR","Throttle Pos","Brake","Steering Wheel Angle"
"s","m","km/h","G","G","m","kPa","kPa","kPa","kPa","%","%","rad"


"0.620","0","0.0026927","0.01965646","-0.00308914","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.630","0","0.0027354","0.01962629","-0.00280499","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.640","0","0.0027330","0.01965014","-0.00291614","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.650","0","0.0027079","0.01970101","-0.00322494","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.660","0","0.0027166","0.01973699","-0.00321494","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.670","0","0.0027189","0.01975330","-0.00320667","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.680","0","0.0027085","0.01973028","-0.00320186","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.690","0","0.0026991","0.01971752","-0.00319667","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.700","0","0.0026903","0.01970989","-0.00319129","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.710","0","0.0026983","0.01967330","-0.00300120","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.720","0","0.0027210","0.01966026","-0.00294972","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.730","0","0.0027730","0.01969433","-0.00317546","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.740","0","0.0027724","0.01970751","-0.00323821","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.750","0","0.0027454","0.01971026","-0.00321947","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.760","0","0.0027335","0.01971396","-0.00320687","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.770","0","0.0027428","0.01977426","-0.00311635","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.780","0","0.0027944","0.01994775","-0.00286997","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.790","0","0.0028156","0.01923591","-0.00282193","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.800","0","0.0028217","0.01808141","-0.00287304","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.810","0","0.0028416","0.01862447","-0.00292517","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.820","0","0.0028733","0.01941085","-0.00297714","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.830","0","0.0029288","0.02068385","-0.00302879","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.840","0","0.0030424","0.02105123","-0.00306512","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.850","0","0.0031849","0.02096578","-0.00309380","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.860","0","0.0031996","0.02040990","-0.00314187","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.870","0","0.0032460","0.01977645","-0.00308485","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
